created_time,campaign_id,campaign_name,first_name,last_name,phone,email,zip_code
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
2/14/2017 12:00,,,Sean,Spicer,453-456-4234,spiceytime@whitehouse.gov,74623
