id,created_time,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,form_id,is_organic,first_name,last_name,email,zip_code
,5/31/2016 5:22,,,,,,,,,Eric,Vaughan,openintro@gmail.com,75013
,5/31/2016 5:22,,,,,,,,,Jake,Tapper,jtapper@cnn.com,30111
,5/31/2016 5:22,,,,,,,,,Wolf,Blitzer,theblitz@cnn.com,30121
,5/31/2016 5:22,,,,,,,,,Kellyanne,Conway,crazylady@polls.com,61631
,5/31/2016 5:22,,,,,,,,,Sean,Spicer,spiceytime@whitehouse.gov,41727
,5/31/2016 5:22,,,,,,,,,Eric,Vaughan,openintro@gmail.com,75013
,5/31/2016 5:22,,,,,,,,,Jake,Tapper,jtapper@cnn.com,30111
,5/31/2016 5:22,,,,,,,,,Wolf,Blitzer,theblitz@cnn.com,30121
,5/31/2016 5:22,,,,,,,,,Kellyanne,Conway,crazylady@polls.com,61631
,5/31/2016 5:22,,,,,,,,,Sean,Spicer,spiceytime@whitehouse.gov,41727
,5/31/2016 5:22,,,,,,,,,Eric,Vaughan,openintro@gmail.com,75013
,5/31/2016 5:22,,,,,,,,,Jake,Tapper,jtapper@cnn.com,30111
,5/31/2016 5:22,,,,,,,,,Wolf,Blitzer,theblitz@cnn.com,30121
,5/31/2016 5:22,,,,,,,,,Kellyanne,Conway,crazylady@polls.com,61631
,5/31/2016 5:22,,,,,,,,,Sean,Spicer,spiceytime@whitehouse.gov,41727
